iter,eps,yL,yU,diam,true_min,min_relax,hausdorff_error,argmin_y,ms1,ms2,c1,c2,Q1_a,Q1_b,Q1_c,Q2_a,Q2_b,Q2_c
0,4.0,6.0,14.0,8.0,0.0,-0.03241876229656615,0.03241876229656615,9.952,3.9968028886505635e-14,-7.038369886913642e-12,2.489489742783178,-3.7016573867739413,3.474565748508915e-14,0.1615209554981465,1.520364009793008,0.006857642173713584,-0.2980037674701171,-0.8737025082331267
1,2.0,8.0,12.0,4.0,0.0,-0.006620351201392705,0.006620351201392705,9.989333333333333,0.0,0.0,2.83842712474619,-3.4541016151377546,7.953191723773944e-17,0.15891862259788955,1.567078143963068,0.006581711231258107,-0.2904065001762176,-0.9169900303243106
2,1.0,9.0,11.0,2.0,0.0,-0.0015189425677841761,0.0015189425677841761,9.996,-2.220446049250313e-15,1.6501244815003702e-10,3.0025,-3.3141247903554,0.0,0.15831239517770038,1.577688443400698,0.00646980438032212,-0.2876594455856336,-0.9327172274544484
3,0.5,9.5,10.5,1.0,0.0,-0.00037720255780238077,0.00037720255780238077,10.001,0.0,-1.5765166949677223e-13,3.082832001484488,-3.2397453492039303,3.00734364488486e-18,0.15816334771944196,1.5802801981497892,0.006454408551552297,-0.28726349516702954,-0.93509677586478
4,0.25,9.75,10.25,0.5,0.0,-0.0001266013297045454,0.0001266013297045454,10.024,0.0,2.041239931749317e-06,3.122655249199199,-3.2014058687164244,2.897958274758497e-19,0.15812623903444956,1.580924418613316,0.005838131467981034,-0.2751686282615063,-0.9944389642373955
5,0.125,9.875,10.125,0.25,0.0,-2.3188714524113863e-05,2.3188714524113863e-05,10.00025,0.0,1.4046537266665382e-09,3.1424903349941338,-3.181941452839464,0.0,0.15811697138132177,1.581085242603581,0.006452624775561727,-0.28717320758551246,-0.9358085477051404
6,0.0625,9.9375,10.0625,0.125,0.0,-7.937423145865097e-06,7.937423145865097e-06,10.002708333333333,0.0,3.452558683392226e-09,3.152389818854623,-3.17213461948738,6.607404857355792e-19,0.1580796126231303,1.5814736684122657,0.006452879129818132,-0.2871723795089656,-0.9358418054529629
7,0.03125,9.96875,10.03125,0.0625,0.0,-7.931202070654564e-06,7.931202070654564e-06,10.0133125,-4.440892098500626e-16,1.5587688029228275e-08,3.1573351764850224,-3.1672124234237318,3.897299498413026e-25,0.1579423233553959,1.58284764053592,0.006452858678865201,-0.2871712475193053,-0.9358510707361756
8,0.015625,9.984375,10.015625,0.03125,0.0,-2.0273202624654374e-05,2.0273202624654374e-05,10.015625,0.0,1.7564007137593762e-08,3.1598067752926973,-3.1647466149414782,4.983041755335893e-19,0.15742612627700298,1.5880052957457456,0.006452849842109848,-0.28717093026360835,-0.935853359617334
9,0.0078125,9.9921875,10.0078125,0.015625,0.0,-5.5600656052590125e-06,5.5600656052590125e-06,10.0078125,2.1959744648469837e-05,1.7822270770295745e-08,3.161042306688339,-3.1635125311230503,2.530582156222009e-19,0.15773851962278373,1.5848674829004061,0.00645284763132349,-0.28717085091788785,-0.9358539319958544
10,0.00390625,9.99609375,10.00390625,0.0078125,0.0,-1.2016187114660681e-05,1.2016187114660681e-05,10.00390625,3.863040932783335e-05,1.7859644430018307e-08,3.1616600056324073,-3.162895194073026,1.2647497131010914e-19,0.15656604844847818,1.5965724768650496,0.006452847088737909,-0.28717083128368165,-0.9358540740793462
11,0.001953125,9.998046875,10.001953125,0.00390625,0.0,-5.2418866185011126e-05,5.2418866185011126e-05,9.99837890625,4.440892098500626e-16,1.7867056278930704e-08,3.1619688384469837,-3.162586451731945,5.763391358655318e-19,0.17278290214909386,1.434419982708732,0.006452846907850692,-0.28717082547035144,-0.9358541141239248
12,0.0009765625,9.9990234375,10.0009765625,0.001953125,0.0,-2.621527307677951e-05,2.621527307677951e-05,9.999189453125,0.0,1.787050640800203e-08,3.1621232506937766,-3.1624320621035245,2.342288881961176e-19,0.17278457249015272,1.4344176070362964,0.006452846411808528,-0.2871708150004094,-0.9358541692191272
13,0.00048828125,9.99951171875,10.00048828125,0.0009765625,0.0,-1.3108996173905041e-05,1.3108996173905041e-05,9.9995947265625,-4.440892098500626e-16,1.7872246349526222e-08,3.162200455777533,-3.1623548626743614,2.980383270491007e-24,0.17278529548521696,1.4344175411942235,0.006452847400261007,-0.2871708346322608,-0.9358540717458624
14,0.000244140625,9.999755859375,10.000244140625,0.00048828125,0.0,-6.5548729546449636e-06,6.5548729546449636e-06,9.99979736328125,4.440892098500626e-16,1.7873118096645157e-08,3.162239058059561,-3.1623162618059815,2.4240359770163687e-22,0.17278573526698274,1.4344167254167777,0.006452853066863903,-0.28717094792990844,-0.9358535054296757
15,0.0001220703125,9.9998779296875,10.0001220703125,0.000244140625,0.0,-3.277514740052112e-06,3.277514740052112e-06,9.999898681640625,0.0,1.787355508042765e-08,3.1622583591356204,-3.1622969610833342,5.655004081316566e-22,0.1727858859844767,1.4344170092859756,0.006452877711212183,-0.2871714408086155,-0.9358510410774343
16,6.103515625e-05,9.99993896484375,10.00006103515625,0.0001220703125,0.0,-1.638936716563677e-06,1.638936716563677e-06,9.999949340820313,0.0,1.7873769575516008e-08,3.1622680096574127,-3.162287310649895,0.0,0.17278739186562145,1.4344028459068472,0.00645298370707474,-0.28717356072422573,-0.935840441507584
17,3.0517578125e-05,9.999969482421875,10.000030517578125,6.103515625e-05,0.0,-8.193805784983965e-07,8.193805784983965e-07,9.999974670410156,0.0,1.787423631327556e-08,3.162272834914249,-3.162282485415147,7.292465771041971e-19,0.17278577018054803,1.434419510611083,0.006452882255758794,-0.2871715316972768,-0.935850586645836
18,1.52587890625e-05,9.999984741210938,10.000015258789062,3.0517578125e-05,0.0,-4.0979713578082055e-07,4.0979713578082055e-07,9.999987335205079,8.487912595001035e-09,1.7874023150454832e-08,3.1622752475416527,-3.1622800727932656,9.366523697996926e-13,0.1727895716188002,1.4343817114652244,0.006453108461152299,-0.2871760558006965,-0.935827966150722
19,7.62939453125e-06,9.999992370605469,10.000007629394531,1.52587890625e-05,0.0,-1.176174562189658e-06,1.176174562189658e-06,9.999999811808268,0.0,1.787393788532654e-08,3.1622764538551005,-3.162278866481198,6.910006685203884e-19,0.3085661991076355,0.07661452123186217,0.014897760169109295,-0.4560690899352152,-0.09136279560161313
20,3.814697265625e-06,9.999996185302734,10.000003814697266,7.62939453125e-06,0.0,-5.880873583663515e-07,5.880873583663515e-07,9.999999905904135,0.0,1.787397030383886e-08,3.162277057011761,-3.1622782633248825,3.269826187196518e-19,0.3085662558880377,0.07661452735772563,0.014897760159530659,-0.45606908984411226,-0.09136279555442896
